,id,week,season,season_type,neutral_site,conference_game,start_date,home_id,home_team,home_points,home_line_scores,away_id,away_team,away_points,away_line_scores,home_yards/play,away_yards/play,margin,home_past_average_yards/play,away_past_average_yards/play,away_avg_starting_yardline,home_avg_starting_yardline,away_past_starting_yard_line,home_past_starting_yard_line,home_elo,away_elo,away_schedule_strength,home_schedule_strength,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
0,400935282,1,2017,regular,False,False,2017-08-26T18:30:00.000Z,36,Colorado State,58,"[7, 17, 10, 24]",204,Oregon State,27,"[10, 10, 0, 7]",6.611111111111111,6.354166666666667,31,NA,NA,72.73333333333333,62.333333333333336,NA,NA,1569.0,1369.0,NA,NA,Colorado State,58,Oregon State,27,consensus,60.0,,Oregon State -null,,,,
1,400945031,1,2017,regular,False,False,2017-08-26T19:00:00.000Z,252,BYU,20,"[7, 7, 0, 6]",2502,Portland State,6,"[0, 6, 0, 0]",5.588235294117647,2.989010989010989,14,NA,NA,79.33333333333333,63.083333333333336,NA,NA,1730.0,,NA,NA,BYU,20,Portland State,6,consensus,60.0,,Portland State -null,,,,
2,400938887,1,2017,regular,False,False,2017-08-26T22:00:00.000Z,113,UMass,35,"[7, 7, 14, 7]",62,Hawai'i,38,"[7, 7, 7, 17]",5.4646464646464645,5.918367346938775,-3,NA,NA,45.15384615384615,50.083333333333336,NA,NA,1095.0,1161.0,NA,NA,UMass,35,Hawai'i,38,consensus,60.0,,Hawai'i -null,,,,
3,400941786,1,2017,regular,False,False,2017-08-26T23:30:00.000Z,23,San José State,22,"[16, 0, 0, 6]",58,South Florida,42,"[0, 28, 7, 7]",3.7719298245614037,4.696969696969697,-20,NA,NA,72.8,67.26315789473684,NA,NA,1150.0,1691.0,NA,NA,San José State,22,South Florida,42,consensus,69.5,,South Florida -null,,,,
4,400935257,1,2017,regular,True,False,2017-08-27T02:00:00.000Z,242,Rice,7,"[0, 0, 0, 7]",24,Stanford,62,"[21, 17, 14, 10]",3.6538461538461537,8.649484536082474,-55,NA,NA,67.3076923076923,58.0,NA,NA,1109.0,1750.0,NA,NA,Rice,7,Stanford,62,consensus,,33.5,Stanford -33.5,,,,
5,400938591,1,2017,regular,False,False,2017-08-31T22:00:00.000Z,2116,UCF,61,"[14, 26, 14, 7]",2229,Florida International,17,"[7, 3, 7, 0]",8.194444444444445,6.197368421052632,44,NA,NA,71.2,57.625,NA,NA,1419.0,1158.0,NA,NA,UCF,61,Florida International,17,consensus,56.5,-17.0,UCF -17,,,,
6,400937445,1,2017,regular,False,False,2017-08-31T22:30:00.000Z,154,Wake Forest,51,"[16, 21, 14, 0]",2506,Presbyterian College,7,"[0, 0, 0, 7]",7.130434782608695,5.08955223880597,44,NA,NA,79.66666666666667,62.416666666666664,NA,NA,1463.0,,NA,NA,Wake Forest,51,Presbyterian College,7,consensus,,-42.5,Wake Forest -42.5,,,,
7,400935230,1,2017,regular,False,False,2017-08-31T23:00:00.000Z,135,Minnesota,17,"[14, 0, 0, 3]",2084,Buffalo,7,"[7, 0, 0, 0]",5.423076923076923,4.619047619047619,10,NA,NA,77.84615384615384,67.64285714285714,NA,NA,1652.0,1080.0,NA,NA,Minnesota,17,Buffalo,7,consensus,51.0,-23.0,Minnesota -23,,,,
8,400941787,1,2017,regular,False,False,2017-08-31T23:00:00.000Z,2132,Cincinnati,26,"[0, 14, 6, 6]",2046,Austin Peay,14,"[0, 7, 0, 7]",5.28,3.803921568627451,12,NA,NA,76.41666666666667,64.76923076923077,NA,NA,1309.0,,NA,NA,Cincinnati,26,Austin Peay,14,consensus,,-43.0,Cincinnati -43,,,,
9,400944826,1,2017,regular,False,False,2017-08-31T23:00:00.000Z,2247,Georgia State,10,"[0, 3, 0, 7]",2634,Tennessee State,17,"[3, 7, 7, 0]",5.214285714285714,6.377777777777778,-7,NA,NA,71.0,66.5,NA,NA,1177.0,,NA,NA,Georgia State,10,Tennessee State,17,consensus,,-15.0,Georgia State -15,,,,
10,400944889,1,2017,regular,False,False,2017-08-31T23:00:00.000Z,2649,Toledo,47,"[13, 6, 21, 7]",2210,Elon,13,"[0, 7, 0, 6]",7.797979797979798,4.3561643835616435,34,NA,NA,70.4,59.61538461538461,NA,NA,1660.0,,NA,NA,Toledo,47,Elon,13,consensus,,-44.5,Toledo -44.5,,,,
11,400944890,1,2017,regular,False,False,2017-08-31T23:00:00.000Z,2117,Central Michigan,30,"[0, 13, 0, 8, 3, 0, 6]",227,Rhode Island,27,"[0, 0, 7, 14, 3, 0, 3]",5.845588235294118,6.97,3,NA,NA,59.63636363636363,65.0952380952381,NA,NA,1231.0,,NA,NA,Central Michigan,30,Rhode Island,27,consensus,,-34.5,Central Michigan -34.5,,,,
12,400941788,1,2017,regular,False,False,2017-08-31T23:30:00.000Z,41,Connecticut,27,"[7, 0, 7, 13]",107,Holy Cross,20,"[3, 17, 0, 0]",4.708333333333333,5.5181818181818185,7,NA,NA,67.13333333333334,66.0,NA,NA,1102.0,,NA,NA,Connecticut,27,Holy Cross,20,consensus,,-22.5,Connecticut -22.5,,,,
13,400934493,1,2017,regular,False,False,2017-08-31T23:30:00.000Z,197,Oklahoma State,59,"[21, 17, 14, 7]",202,Tulsa,24,"[0, 17, 0, 7]",9.105882352941176,3.87603305785124,35,NA,NA,72.85714285714286,69.41666666666667,NA,NA,1841.0,1748.0,NA,NA,Oklahoma State,59,Tulsa,24,consensus,71.5,-19.5,Oklahoma State -19.5,,,,
14,400935248,1,2017,regular,False,False,2017-08-31T23:30:00.000Z,254,Utah,37,"[0, 17, 10, 10]",155,North Dakota,16,"[3, 6, 0, 7]",6.3076923076923075,5.493670886075949,21,NA,NA,68.72727272727273,71.66666666666667,NA,NA,1704.0,,NA,NA,Utah,37,North Dakota,16,consensus,,-21.0,Utah -21,,,,
